"","type","year","author","doc_title","pub_title","DOI","abstract"
"1","conferencePaper",2019,"Aavik, Gerli; Mayer, Anna; McBride, Keegan; Krimmer, Robert","Is Government Welfare Able to Change? Analysing Efforts to Co-create an Improved Social Welfare System through Taking Advantage of a Collaborative Economy",NA,"10.24251/HICSS.2019.358","Welfare sectors across the world are facing the need to balance the contrast between economic pressures due to demographic changes and peoples’ rising expectations of receiving services that are transparent; timely and tailored to citizens’ habits and needs. This means that governments are pressured to look for new ways to deliver public services. This article looks at two co-created peer-to-peer platforms that are engaged in delivering public services in the welfare sector, Helpific and Caremate, and their development and role in the Estonian welfare sector. These platforms appear to hold substantial potential for changing the current system of delivering public services, however they have not yet managed to acquire the anticipated level of success. By examining these two cases, it is proposed that the room and support for developing new solutions, using experience in the field and overcoming the digital divide must be assured in order to make changes in government welfare possible."
"2","conferencePaper",NA,"Abdelmounaam, Rezgui; Mourad, Ouzzani; Athman, Bouguettaya; Brahim, Medjahed","Preserving privacy in web services",NA,"10.1145/584931.584944","Web services are increasingly being adopted as a viable means to access Web-based applications. This has been enabled by the tremendous standardization effort to describe, advertise, discover, and invoke Web services. Digital government (DG) is a major application domain for Web services. It aims at improving government-citizen interactions using information and communication technologies. Government agencies collect, store, process, and share information about millions of citizens who have different preferences regarding their privacy. This naturally raises a number of legal and technical issues that must be addressed to preserve citizens' privacy through the control of the information flow amongst different entities (users, Web services, DBMSs). Solutions addressing this issue are still in their infancy. They consist, essentially, of enforcing privacy by law or by self-regulation. In this paper, we propose a new technical approach for preserving privacy in government Web services. Our design is based on digital privacy credentials, data filters and mobile privacy preserving agents. This work aims at establishing the feasibility and provable reliability of technology-based privacy preserving solutions for Web service infrastructures."
"3","conferencePaper",2010,"Abdelsalam, Hisham M. E.; ElKadi, Hatem A.; Gamal, Sara","Setback and remedy of local e-government projects: a case study from Egypt",NA,"10.1145/1930321.1930336",NA
"4","conferencePaper",2016,"Abdrabbah, Sabrine Ben; Ayachi, Raouia; Amor, Nahla Ben","A Dynamic Community-Based Personalization for e-Government Services",NA,"10.1145/2910019.2910050","The government portals and websites contain a wide range of information and services to help citizens and businesses comply in ease with the government requirements. One of the most important challenges for e-Government services is matching particular needs and interests of citizens and businesses to achieve efficient e-Government services quality. Recommender systems have been proposed to deliver users with the most interesting information service thereby addressing the information overload problem. In this paper, we focus on the implementation of a recommender system in an e-Government context to provide personalized G2C e-services. The proposed approach combines the expert pre-defined categorization of the e-government services and the citizens rating history to identify the relevant services for the active citizen. The efficiency of the proposed e-Government services personalization method is studied via a comparative study with the benchmark item-based and a state-of-the-art recommender system for Government-to-Business e-services. Experimental results show a considerable improvement for the proposed recommendation approach in term of performance and accuracy."
"5","conferencePaper",2018,"Acharya, Vijeth; Ramaprasad, Arkalgud; Vasudevan, Shraddha","eLand Governance in India: Transcending Digitization",NA,"10.1007/978-3-319-98690-6_7","Land governance is a complex issue to be addressed in many countries including India. All three branches of the government viz. judiciary, executive and legislature have tried to address the issue in..."
"6","conferencePaper",2014,"Adeshina, Steve A.; Ojo, Adegboyega","Towards Improved Adoption of e-Voting: Analysis of the Case of Nigeria",NA,"10.1145/2691195.2691255","The adoption of e-voting in different parts of the world has been generally problematic, with only few exceptions. Past studies also suggest that e-voting is embedded in the socio-politically context informing variations in the adoption patterns and nature of challenges faced during implementation. While few survey-based empirical studies have been carried out to better understand factors affecting successful adoption of e-voting, there is general paucity of ethnographic studies and analysis providing detailed insights to e-voting adoption in specific contexts. This study offers such ethnography through in-depth analysis of e-voting adoption in the 2011 Nigerian General Elections. Using a multi-level Innovation Adoption Framework as a theoretical lens, we analyze the observations made by one of the authors as a participant in the adoption and implementation of the e-voting initiative as well as the post-election reports. Results from analysis revealed core factors for the different levels of e-voting adoption constructs - socio-political context, organizations, innovation and individual. Results also identified factors and challenges that may negatively impact e-voting adoption."
"7","conferencePaper",2015,"Afonso, Ricardo Alexandre; dos Santos Brito, Kellyton; do Nascimento, Clóvis Holanda; Garcia, Vinicius Cardoso; Álvaro, Alexandre","Brazilian Smart Cities: Using a Maturity Model to Measure and Compare Inequality in Cities",NA,"10.1145/2757401.2757426","Nowadays there are several publications on smart cities and improvements offered to the routine of its inhabitants and resource optimization, however, there is still no agreement about the definition of ""Smart Cities"", their domains and indicators. The lack of a clear and widely usable definition and such as delimitation areas and indicators makes it difficult to compare or measure cities in this context. This paper compares some of the Brazilian capital indicators and presents a maturity model called br-SCMM (Brazilian Smart City Maturity Model) developed to allow extracted indicators of public databases may be used to assist city managers."
"8","conferencePaper",2018,"Afzal, Ayesha; Shafiq, Basit; Shamail, Shafay; Elahraf, Abeer; Vaidya, Jaideep; Adam, Nabil","Emergency Response Plan Recommendation and Composition System (ERPRCS)",NA,"10.1145/3209281.3209348","An emergency response process is a plan that outlines the workflow of different activities that need to be performed in response to an emergency situation. Effective response planning requires inter-operability among systems belonging to different organizations. Unlike typical e-government processes that are well structured and have a well-defined outcome, emergency response processes are knowledge centric and their workflow structure and execution may evolve dynamically based on the environmental context as well as the type of service/activity invoked during process execution. It is impractical to define static plans and response process workflow for every possible situation due to the fact that unforeseeable situations may arise. Thus, a dynamic response requires adaptability to changing situation as the incident evolves. This article presents an approach for development of an Emergency Response Plan Recommendation and Composition System (ERPRCS) that, as the incident evolves, facilitates dynamic composition of an executable response plan by exploiting the knowledge of existing plans and learning from them. Specifically, the ERPRCS system generates an executable response plan from an existing response process that was instantiated for an incident most similar to the current incident. This response plan is customized based on available services and resource provider systems in a given jurisdiction and geographical area."
"9","conferencePaper",2018,"Agbabiaka, Olusegun","The Public Value Creation of eGovernment: An Empirical Study from Citizen Perspective",NA,"10.1145/3209415.3209416","Due to its inherent benefits, governments all over the world have invested huge capital on eGovernment with a view to improving internal efficiency and providing better and quality services to the citizenry. However, the success of eGovernment is best measured by the perceptions of citizens who use the services. This paper, the second of a two-part study seeks to investigate the types of public value that are desired as outcomes of eGovernment as well as the salient factors that are significant in predicting value creation from the perspective of citizens. To fulfil its objectives, the study adopts a theoretical model that integrates two streams of research: (i) the updated DeLone and McLean IS Success Model and (ii) Public Value. Using survey data collected from Nigeria, the model is empirically tested and validated through structural equation modelling analysis. Findings identify democracy, reflexivity and productivity in order of importance, as the three distinct value types desired as outcomes by citizens. Furthermore, results show service quality as the most salient factor significant in predicting citizen satisfaction and citizen trust in eGovernment, while both service quality and citizen satisfaction are significant in predicting net benefits. This research has both theoretical and practical implications. First, it contributes to the advancement of knowledge in the public value creation of eGovernment. Second, it provides a practical reference point for improving service delivery in the public sector."
"10","conferencePaper",2016,"Agbabiaka, Olusegun; Ugaddan, Reginald","The Public Value Creation of eGovernment: A Test of the Respecified is Success Model",NA,"10.1109/HICSS.2016.366","The success and impact of eGovernment depend on its value perceptions by citizens. This paper seeks to investigate the salient factors that are significant in predicting the public value creation of eGovernment from the citizen perspective. To fulfil the purpose of this research, a theoretical model based on the updated DeLone and McLean IS Success Model and the public value approach is adopted. Through data collected from Korea, the model is empirically tested and validated using structural equation modeling technique. Findings reveal that information quality and system quality significantly predict trust in eGovernment, while for citizen satisfaction, information quality and service quality are critical. Information quality, service quality and citizen satisfaction are significant in predicting net benefits. Furthermore, while trust in eGovernment has no mediating effect on the model, citizen satisfaction mediates the relationship between the quality constructs and net benefits. This research has both theoretical and practical implications."
