"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PFCQCAP6","bookSection","2009","Becker, Jörg; Niehaves, Björn; Krause, Andreas","Shared Service Center vs. Shared Service Network: A Multiple Case Study Analysis of Factors Impacting on Shared Service Configurations","Electronic Government","978-3-642-03515-9 978-3-642-03516-6","","","http://link.springer.com/10.1007/978-3-642-03516-6_10","","2009","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","115-126","","","5693","","","Shared Service Center vs. Shared Service Network","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-03516-6_10","","","","","","Wimmer, Maria A.; Scholl, Hans J.; Janssen, Marijn; Traunmüller, Roland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTJD5IDW","bookSection","2004","Becker, Jörg; Niehaves, Björn; Algermissen, Lars; Delfmann, Patrick; Falk, Thorsten","e-Government Success Factors","Electronic Government","978-3-540-22916-2 978-3-540-30078-6","","","http://link.springer.com/10.1007/978-3-540-30078-6_87","","2004","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","503-506","","","3183","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-30078-6_87","","","","","","Traunmüller, Roland","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DHVETPBU","conferencePaper","2012","Bertot, John Carlo; Jaeger, Paul T.; Gorham, Ursula; Greene, Natalie N.; Lincoln, Ruth","Delivering e-government services through innovative partnerships: public libraries, government agencies, and community organizations","Proceedings of the 13th Annual International Conference on Digital Government Research - dg.o '12","978-1-4503-1403-9","","10.1145/2307729.2307750","http://dl.acm.org/citation.cfm?doid=2307729.2307750","","2012","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","126","","","","","","Delivering e-government services through innovative partnerships","","","","","ACM Press","College Park, Maryland","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 13th Annual International Conference","","","","","","","","","","","","","","",""
"TVAPGDI9","conferencePaper","2014","Bertot, John Carlo; Butler, Brian S.; Travis, Diane M.","Local big data: the role of libraries in building community data infrastructures","Proceedings of the 15th Annual International Conference on Digital Government Research - dg.o '14","978-1-4503-2901-9","","10.1145/2612733.2612762","http://dl.acm.org/citation.cfm?doid=2612733.2612762","","2014","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:52","17-23","","","","","","Local big data","","","","","ACM Press","Aguascalientes, Mexico","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 15th Annual International Conference","","","","","","","","","","","","","","",""
"444Q7J9J","conferencePaper","2016","Bertot, John Carlo","Building Digitally Inclusive Communities: the Roles of Public Libraries in Digital Inclusion and Development","Proceedings of the 9th International Conference on Theory and Practice of Electronic Governance","978-1-4503-3640-6","","10.1145/2910019.2910082","https://dl.acm.org/doi/10.1145/2910019.2910082","","2016-03","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:52","95-102","","","","","","Building Digitally Inclusive Communities","","","","","ACM","Montevideo Uruguay","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICEGOV '15-16: 9th International Conference on Theory and Practice of Electronic Governance","","","","","","","","","","","","","","",""
"C6VKR9MZ","bookSection","2010","Bertot, John Carlo","Community-Based E-Government: Libraries as E-Government Partners and Providers","Electronic Government","978-3-642-14798-2 978-3-642-14799-9","","","http://link.springer.com/10.1007/978-3-642-14799-9_11","","2010","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","121-131","","","6228","","","Community-Based E-Government","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-14799-9_11","","","","","","Wimmer, Maria A.; Chappelet, Jean-Loup; Janssen, Marijn; Scholl, Hans J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECFWBIP4","conferencePaper","2015","Bert, Jennifer; Shin, Yoon Ah; Chalfont, Brian","Technology, governance, and the escalation of Ebola: wicked problems in real time","Proceedings of the 16th Annual International Conference on Digital Government Research","978-1-4503-3600-0","","10.1145/2757401.2757434","https://dl.acm.org/doi/10.1145/2757401.2757434","","2015-05-27","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","71-78","","","","","","Technology, governance, and the escalation of Ebola","","","","","ACM","Phoenix Arizona","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dg.o 2015: 16th Annual International Digital Government Research Conference","","","","","","","","","","","","","","",""
"GSL6GMWY","conferencePaper","2018","Bernardes, Marciele Berger; de Andrade, Francisco Pacheco; Novais, Paulo; Lopes, Nuno Vasco","Participatory Governance of Smart Cities: a study upon Portuguese and Brazilian government portals","Proceedings of the 11th International Conference on Theory and Practice of Electronic Governance","978-1-4503-5421-9","","10.1145/3209415.3209464","https://dl.acm.org/doi/10.1145/3209415.3209464","","2018-04-04","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","526-536","","","","","","Participatory Governance of Smart Cities","","","","","ACM","Galway Ireland","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICEGOV '18: 11th International Conference on Theory and Practice of Electronic Governance","","","","","","","","","","","","","","",""
"LHU7TKCU","conferencePaper","2016","Ben, Esther Ruiz; Schuppan, Tino","E-Government and the Transformation of Professionalism: The Case of the Police","2016 49th Hawaii International Conference on System Sciences (HICSS)","978-0-7695-5670-3","","10.1109/HICSS.2016.335","http://ieeexplore.ieee.org/document/7427518/","","2016-01","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","2667-2676","","","","","","E-Government and the Transformation of Professionalism","","","","","IEEE","Koloa, HI, USA","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 49th Hawaii International Conference on System Sciences (HICSS)","","","","","","","","","","","","","","",""
"IGMPKG52","bookSection","2008","Bednar, Peter; Furdik, Karol; Kleimann, Maren; Klischewski, Ralf; Skokan, Marek; Ukena, Stefan","Semantic Integration of eGovernment Services in Schleswig-Holstein","Electronic Government","978-3-540-85203-2 978-3-540-85204-9","","","http://link.springer.com/10.1007/978-3-540-85204-9_27","","2008","2022-04-24 14:29:55","2022-04-24 14:29:55","2022-04-24 14:29:51","315-327","","","5184","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-85204-9_27","","","","","","Wimmer, Maria A.; Scholl, Hans J.; Ferro, Enrico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
