,pub_title.x,n
,Journal of Information Policy,
,Digital Policy Regulation and Governance,
1,Government Information Quarterly,781
2,"Transforming Government: People, Process and Policy",255
3,Journal of Information Technology & Politics,253
4,"Electronic Government, an International Journal",202
5,International Journal of Electronic Governance,198
6,International Journal of Electronic Government Research,142
7,Information Technology for Development,123
8,Social Science Computer Review,107
9,Information Polity,105
10,International Journal of Public Administration,98
11,Information Polity: The International Journal of Government & Democracy in the Information Age,96
12,International Journal of Electronic Government Research (IJEGR),88
13,Public Administration Review,81
14,Sustainability,77
15,International Journal of Information Management,75
16,JeDEM - eJournal of eDemocracy and Open Government,69
17,International Journal of Public Administration in the Digital Age,67
18,Electronic Government: An International Journal,55
19,Digital Government: Research and Practice,52
20,International Journal of Public Administration in the Digital Age (IJPADA),51
21,"Information, Communication & Society",48
22,Telematics and Informatics,47
23,Information Development,45
24,Telecommunications Policy,43
25,Comparative E-Government,42
26,Technological Forecasting and Social Change,39
27,American Review of Public Administration,37
28,International Review of Administrative Sciences,37
29,Information Systems Frontiers,36
30,Administration & Society,35
31,Computers in Human Behavior,34
32,Online Information Review,34
33,Public Management Review,34
34,Information Technology & People,33
35,IEEE Access,32
36,Information Communication & Society,32
37,Computer,30
38,Journal of E-Government,30
39,Cities,28
40,Public Performance & Management Review,28
41,Transforming Government- People Process and Policy,26
42,Journal of Medical Internet Research,25
43,"Cyber warfare and terrorism: Concepts, methodologies, tools, and applications",24
44,Information Systems Management,24
45,Journal of Enterprise Information Management,24
46,Electronic Journal of Information Systems in Developing Countries,23
47,Information Society,23
48,Information Systems Journal,23
49,Journal of Global Information Management,23
50,New Media & Society,23
51,Records Management Journal,21
52,Journal of Public Administration Research and Theory,20
53,Behaviour & Information Technology,19
54,European Journal of Information Systems,19
55,Local Government Studies,19
56,Decision Support Systems,18
57,Electronic Library,18
58,International Journal of E-Planning Research,18
59,Policy and Internet,18
60,International Journal of Public Sector Management,17
61,Technology in Society,17
62,Universal Access in the Information Society,17
63,Digital Policy Regulation and Governance,16
64,Information & Management,16
65,First Monday,15
66,International Journal of Disaster Risk Reduction,14
67,Journal of Government Information,14
68,Library Hi Tech,14
69,Business Process Management Journal,13
70,Computer Law & Security Review,13
71,Computers & Security,13
72,Electronic Commerce Research and Applications,13
73,Ieee Access,13
74,Internet Research,13
75,Journal of Homeland Security and Emergency Management,13
76,Journal of Urban Technology,13
77,Scientometrics,13
78,Australian Journal of Public Administration,12
79,Information,12
80,Plos One,12
81,Energies,11
82,Information Processing & Management,11
83,Electronic Commerce Research,10
84,Sensors,10
85,Sustainable Cities and Society,10
86,Future Generation Computer Systems,9
87,Information & Communications Technology Law,9
88,International Journal of Law & Information Technology,9
89,Journal of Information Security and Applications,9
90,Journal of Information Technology,9
91,Journal of Organizational Computing and Electronic Commerce,9
92,Journal of the American Medical Informatics Association,9
93,Administrative Sciences,8
94,Information Systems,8
95,"International Review of Law, Computers & Technology",8
96,Journal of Information Science,8
97,Optimizing E-Participation Initiatives Through Social Media,8
98,Review of Policy Research,8
99,Aslib Journal of Information Management,7
100,Canadian Public Administration-Administration Publique Du Canada,7
101,European Journal of Sustainable Development,7
102,International Public Management Journal,7
103,ISPRS International Journal of Geo-Information,7
104,Journal of Cleaner Production,7
105,Journal of Cybersecurity,7
106,Journal of Science and Technology Policy Management,7
107,Journal of Strategic Information Systems,7
108,Journal of the American Society for Information Science and Technology,7
109,Land Use Policy,7
110,Multimedia Tools and Applications,7
111,Parliamentary Affairs,7
112,Profesional De La Informacion,7
113,Public Money & Management,7
114,Public Relations Review,7
115,Big Data & Society,6
116,Canadian Geographer-Geographe Canadien,6
117,Communications of the ACM,6
118,Communications of the Association for Information Systems,6
119,Election Law Journal,6
120,Entrepreneurship and Sustainability Issues,6
121,Foresight,6
122,Information Resources Management Journal,6
123,Information Sciences,6
124,International Journal of Environmental Research and Public Health,6
125,International Journal of Information Systems for Crisis Response and Management (IJISCRAM),6
126,International Journal of Theoretical Physics,6
127,IOP Conference Series: Materials Science and Engineering,6
128,Journal of Contingencies and Crisis Management,6
129,Journal of Management Information Systems,6
130,Journal of Public Affairs,6
131,Journal of the Knowledge Economy,6
132,Journal of Theoretical and Applied Electronic Commerce Research,6
133,Lex Localis-Journal of Local Self-Government,6
134,Media Culture & Society,6
135,Mobile Information Systems,6
136,Policy and Politics,6
137,Political Communication,6
138,Asian Journal of Communication,5
139,Chinese Journal of Communication,5
140,Cogent Business & Management,5
141,Computer Standards & Interfaces,5
142,Concurrency and Computation-Practice & Experience,5
143,Disasters,5
144,Enterprise Information Systems,5
145,Environmental Science & Policy,5
146,European Journal of Communication,5
147,Expert Systems with Applications,5
148,Future Generation Computer Systems-the International Journal of Escience,5
149,Geoforum,5
150,IEEE Internet of Things Journal,5
151,International Journal of Emergency Management,5
152,International Journal of Web Information Systems,5
153,Journal of Computer Information Systems,5
